Name,Link,Topic,date pub
Let’s Clear Up the Most Confusing Thing in CSS,https://betterprogramming.pub/lets-clear-up-the-most-confusing-thing-in-css-dbea584ff523,programming,"June 21, 2021"
How I Increased My Productivity Using Spotify,https://medium.datadriveninvestor.com/how-i-increased-my-productivity-using-spotify-c02b2269dddf,productivity,"July 5, 2021"
Why I am Betting on Polkadot (DOT),https://levelup.gitconnected.com/why-i-am-betting-on-polkadot-dot-765a05aa1d4d,crypto,"June 13, 2021"
We Finally Have a Decentralized Twitter,https://levelup.gitconnected.com/we-finally-have-a-decentralized-twitter-dd550dee86db,"crypto, future, tech","May 25, 2021"
5 Exciting Projects in the Polkadot Ecosystem,https://medium.com/coinmonks/5-exciting-projects-in-the-polkadot-ecosystem-2e2d0d657e3e,"crypto, list, tech","May 17, 2021"
5 Python Practices To Take Your Skills to the Next Level,https://betterprogramming.pub/5-python-practices-to-take-your-skills-to-the-next-level-8d5c0f51f90a,"list, programming","May 13, 2021"
Why You Need a ‘.ETH’ Domain Name,https://levelup.gitconnected.com/why-you-need-a-eth-domain-name-b16762fd16b4,"crypto, tech","May 4, 2021"
What’s The Best Way to Learn Computer Science,https://medium.datadriveninvestor.com/whats-the-best-way-to-learn-computer-science-de53224466bc,programming,"April 23, 2021"
Can NFTs Be More Than Just Art,https://medium.com/coinmonks/nfts-are-not-just-for-art-and-gains-d1733ff617d3,"crypto, future, tech","April 12, 2021"
How Augmented Reality Can Solve the Internet,https://medium.com/geekculture/how-augmented-reality-can-solve-the-internet-cead6dfcf33c,"AR, future, tech","March 24, 2021"
Precautions You Need To Take When You Yourself to Crypto,https://medium.datadriveninvestor.com/precautions-you-need-to-take-while-exposing-yourself-to-crypto-c3ef8f8efda1,"crypto, tech","March 20, 2021"
Which Cryptocurrency Hardware Wallet Is Best for You,https://medium.com/coinmonks/which-cryptocurrency-hardware-wallet-is-best-for-you-7f15d6a60af1,"crypto, list, tools","March 11, 2021"
Blockchain Strikes Again: Solving The World’s Most Pressing Issue,https://medium.datadriveninvestor.com/blockchain-strikes-again-solving-the-worlds-most-pressing-issue-3e43b54b114f,"crypto, future, tech","February 27, 2021"
Common Mistakes Beginners Make While Learning Unity,https://levelup.gitconnected.com/common-mistakes-beginners-make-while-learning-unity-f9ff1f43d9d6,"list, programming","February 23, 2021"
These 5 Cryptocurrency Projects May Surpass Bitcoin,https://medium.com/coinmonks/these-5-cryptocurrency-projects-may-surpass-bitcoin-701159358886,"crypto, list","February 9, 2021"
Housing Crisis Will Be a Thing of the Past,https://medium.com/coinmonks/housing-crisis-will-be-a-thing-of-the-past-1028ea598ed2,"crypto, future","January 29, 2021"
Why I am Betting on Cardano (ADA),https://levelup.gitconnected.com/why-i-am-betting-on-cardano-ada-93e34ea59bda,"crypto, tech","January 25, 2021"
How To Make an IoT Device,https://medium.com/better-programming/how-to-make-an-iot-device-845b8ba4ed60,"electronics, programming, tech","January 22, 2021"
What is Bitcoin and Why it Matters,https://medium.com/the-capital/what-is-bitcoin-and-why-it-matters-8bda47773ac3,"crypto, tech","January 13, 2021"
What You Should Do in a Gap Year,https://medium.com/datadriveninvestor/what-you-should-do-in-a-gap-year-9cd3e3b9a924,"life, productivity","January 12, 2021"
The Token That Captured $950M in Its First 13 Minutes,https://medium.com/coinmonks/the-token-that-captured-950m-in-its-first-13-minutes-981f7217e5a9,"crypto, tech","December 21, 2020"
"How to Make Money With ETH2.0. Hold, Stake, DeFi",https://medium.com/coinmonks/how-to-make-money-with-eth2-0-f33cda3fb915,"crypto, money, tech","December 12, 2020"
Do These Things As Soon as You Turn 18 to Be Financially Independent,https://medium.com/datadriveninvestor/do-these-things-as-soon-as-you-turn-18-to-be-financially-secure-87e2259764b,"life, money, productivity","December 1, 2020"
Blockchain Finds Its Home In a $10 Trillion Industry,https://medium.com/datadriveninvestor/blockchain-finds-its-home-in-a-10-trillion-industry-adcb34b1d2b2,"crypto, tech","November 29, 2020"
How Apple Can Make Money Through a Search Engine,https://medium.com/datadriveninvestor/how-apple-can-make-money-through-a-search-engine-12e018a58154,tech,"November 14, 2020"
5 Unpopular Ways of Making Money Online,https://medium.com/datadriveninvestor/5-unpopular-ways-of-making-money-online-ae260041245e,"list, money","November 10, 2020"
How to Get an Arduino and Your Smartphone to Talk to Each Other,https://medium.com/better-programming/how-to-get-arduino-and-smartphone-talk-to-each-other-9abaf39d2ff6,"electronics, programming","November 2, 2020"
Here's How 3D Printing Can Change Your Life,https://medium.com/datadriveninvestor/now-anyone-can-be-a-manufacturer-162bba0263ef,"money, tech","October 28, 2020"
Google’s New ‘Hum to Search’ Feature Is Remarkable,https://medium.com/datadriveninvestor/googles-new-hum-to-search-feature-is-remarkable-ac5d1220e8fe,"AI, tech","October 17, 2020"
The Future of User Interface Is AR Lenses,https://medium.com/swlh/the-future-of-user-interface-is-ar-lenses-1dc348a9c9c6,"AR, future, tech","October 15, 2020"
Why I Bought the iPad Pro,https://medium.com/macoclock/why-i-bought-the-ipad-pro-52ca1b20dd87,gadgets,"October 6, 2020"
What Does Exactly Google Know About You,https://medium.com/datadriveninvestor/what-does-exactly-google-know-about-you-353b4922a5c,tech,"October 5, 2020"
4 Unexpected Ways Blockchain Is Transforming Our World,https://medium.com/datadriveninvestor/4-unexpected-ways-blockchain-is-transforming-our-world-4567c691dba,"crypto, future, tech","September 28, 2020"
Should You Invest in a Crypto Backed by Gold,https://medium.com/datadriveninvestor/should-you-invest-in-a-cryptocurrency-backed-by-gold-a75495128a64,"crypto, money","September 21, 2020"
Back to Basics With Pointers,https://levelup.gitconnected.com/back-to-basics-with-pointers-58859c9c326b,programming,"September 17, 2020"
This Simple Code Can Save 50% off Your MacBook Space,https://levelup.gitconnected.com/this-simple-code-can-save-50-of-your-macbook-space-763cdbc02415,programming,"September 14, 2020"
"Apple One Needs Apple VPN",https://medium.com/datadriveninvestor/apple-vpn-is-the-next-big-thing-efac18a3a678,tech,"September 12, 2020"
How to Embed Multiple YouTube Videos on Your Website,https://codeburst.io/how-to-embed-multiple-youtube-videos-on-your-website-a78a6ddfad95,programming,"August 27, 2020"
The Dark Side of Apple: First US 2 Trillion Dollar Company,https://medium.com/macoclock/the-dark-side-of-apple-first-us-2-trillion-dollar-company-b683e686c9dc,tech,"August 24, 2020"
4 Simple Steps to Make Your Home Come to Life for Under $10,https://codeburst.io/4-simple-steps-to-make-your-home-come-to-life-for-under-10-585bb50d3f3,"electronics, programming","August 14, 2020"
This New Startup Is Designed to Take Down AWS and DevOps Jobs,https://medium.com/towards-artificial-intelligence/we-have-a-new-contender-in-the-cloud-market-and-its-made-to-take-down-aws-d379c0c211c5,tech,"August 13, 2020"
Use Your Money More Efficiently With the Latte Factor,https://medium.com/datadriveninvestor/use-your-money-more-efficiently-with-the-latte-factor-96bd6aff933c?source=your_stories_page---------------------------,money,"August 6, 2020"
A Startup That Paid $1 Billion to Creators,https://medium.com/datadriveninvestor/a-startup-that-pays-more-than-1-billion-to-creators-e830685b09ec,tech,"August 1, 2020"
Bonanza! Now You Can Integrate AI on Your Website,https://codeburst.io/bonanza-now-you-can-integrate-ai-on-your-website-34958f28a868,programming,"July 29, 2020"
Universal Basic Income Is Just a Camouflage,https://medium.com/illumination/universal-basic-income-is-just-a-camouflage-b884f9fd4015,"future, money","July 24, 2020"
How to gain most out of your books,https://medium.com/illumination/how-to-gain-most-out-of-your-books-7555fd0bf54b,"life, productivity","July 22, 2020"
Centralized and Decentralized Systems Finally Get ‘Chained’,https://levelup.gitconnected.com/centralized-and-decentralized-systems-finally-get-chained-ba702dea972,crypto,"July 20, 2020"
"Biggest Crypto Scam in History, Worth $15 Billion",https://levelup.gitconnected.com/biggest-crypto-scam-in-history-worth-15-billion-381e97cf2c0f,crypto,"July 16, 2020"
Ultimate Showdown of Machine Learning Algorithms,https://towardsdatascience.com/ultimate-showdown-of-machine-learning-algorithms-af68fbb90b06,"AI, programming","July 9, 2020"
Education system in 2020 is doomed,https://medium.com/@shubhpatni/education-system-in-2020-is-doomed-ae932e4b9d68,future,"July 8, 2020"
Amazon’s New Service Can Create Apps Without Code,https://levelup.gitconnected.com/amazons-new-service-can-create-apps-without-code-3bbc9a58223d,tech,"July 5, 2020"
How To Decide Which Programming Language Is Best For You,https://codeburst.io/how-to-decide-which-programming-language-is-best-for-you-c4ddab2b0529,programming,"July 1, 2020"
What Is AR And Why Apple Might Lead This Industry,https://medium.com/macoclock/what-is-ar-and-why-apple-might-lead-this-industry-1fe2cf405a03,"AR, tech","June 27, 2020"
Apple WWDC 2020 in 4 minutes,https://medium.com/macoclock/apple-wwdc-2020-in-4-minutes-718c4536ee4f,"gadgets, tech","June 23, 2020"
What is most important,https://medium.com/@shubhpatni/what-is-most-important-7599e76ae653,"life, productivity","June 22, 2020"
What Do Emotions Look Like? Let’s Ask The Computer,https://medium.com/dev-genius/what-do-emotions-look-like-lets-ask-the-computer-57242fef8b00,"AI, programming","June 18, 2020"
This Simple Code Allows You To Use Face ID On Mac,https://medium.com/dev-genius/this-simple-code-allows-you-to-use-face-id-on-mac-29fc8334f080,"AI, programming","June 14, 2020"
Know your tools before you craft,https://medium.com/@shubhpatni/know-your-tools-before-you-craft-how-to-boost-your-productivity-9a804107a729,productivity,"June 7, 2020"
Power of just being told: Why obvious doesn’t sound obvious,https://medium.com/@shubhpatni/power-of-just-being-told-why-obvious-doesnt-sound-obvious-2b842c2f0542,"life, productivity","June 3, 2020"
Is Decentralized Finance (DeFi) Really a Game-Changer,https://medium.com/coinmonks/is-decentralized-finance-defi-really-a-game-changer-2b9ff1ae6bb9,crypto,"July 12, 2021"
6 Ways To Generate Passive Income With Crypto,https://levelup.gitconnected.com/6-ways-to-generate-passive-income-with-crypto-eb02c611e150?source=rss-a3762dfaaa71------2,"finance, blockchain, cryptocurrency, investing, defi","July 19, 2021"
